sentiment,text
positive,This product is amazing and works perfectly
negative,Worst purchase ever totally waste of money
neutral,Average experience nothing special
positive,Excellent service and very fast delivery
negative,Very bad quality and poor customer support
positive,I am extremely satisfied with this product
negative,The item stopped working after two days
positive,Highly recommend this to everyone
negative,Not worth the price at all
positive,Great value for money and awesome quality
neutral,It is okay not too good not too bad
negative,Very disappointing experience
positive,Loved the design and performance
negative,Product arrived damaged and unusable
positive,Customer support was very helpful
