cleaned_text,label
this product is amazing and works perfectly,1
worst purchase ever totally waste of money,0
excellent service and very fast delivery,1
very bad quality and poor customer support,0
i am extremely satisfied with this product,1
the item stopped working after two days,0
highly recommend this to everyone,1
not worth the price at all,0
great value for money and awesome quality,1
very disappointing experience,0
loved the design and performance,1
product arrived damaged and unusable,0
customer support was very helpful,1
