cleaned_text,label
internet speed is amazing,1
very fast network connection,1
excellent customer support service,1
happy with the premium plan,1
network performance is very good,1
support team resolved my issue quickly,1
billing process is smooth and clear,1
good value for money,1
connection is stable most of the time,1
overall satisfied with the service,1
network is slow and unstable,0
internet disconnects frequently,0
customer support is very poor,0
billing issues again and again,0
very disappointed with service quality,0
waste of money,0
connection drops during calls,0
slow data speed in my area,0
support never responds,0
bad experience overall,0
internet speed is amazing,1
very fast network connection,1
excellent customer support service,1
happy with the premium plan,1
network performance is very good,1
support team resolved my issue quickly,1
billing process is smooth and clear,1
good value for money,1
connection is stable most of the time,1
overall satisfied with the service,1
network is slow and unstable,0
internet disconnects frequently,0
customer support is very poor,0
billing issues again and again,0
very disappointed with service quality,0
waste of money,0
connection drops during calls,0
slow data speed in my area,0
support never responds,0
bad experience overall,0
internet speed is amazing,1
very fast network connection,1
excellent customer support service,1
happy with the premium plan,1
network performance is very good,1
support team resolved my issue quickly,1
billing process is smooth and clear,1
good value for money,1
connection is stable most of the time,1
overall satisfied with the service,1
network is slow and unstable,0
internet disconnects frequently,0
customer support is very poor,0
billing issues again and again,0
very disappointed with service quality,0
waste of money,0
connection drops during calls,0
slow data speed in my area,0
support never responds,0
bad experience overall,0
internet speed is amazing,1
very fast network connection,1
excellent customer support service,1
happy with the premium plan,1
network performance is very good,1
support team resolved my issue quickly,1
billing process is smooth and clear,1
good value for money,1
connection is stable most of the time,1
overall satisfied with the service,1
network is slow and unstable,0
internet disconnects frequently,0
customer support is very poor,0
billing issues again and again,0
very disappointed with service quality,0
waste of money,0
connection drops during calls,0
slow data speed in my area,0
support never responds,0
bad experience overall,0
internet speed is amazing,1
very fast network connection,1
excellent customer support service,1
happy with the premium plan,1
network performance is very good,1
support team resolved my issue quickly,1
billing process is smooth and clear,1
good value for money,1
connection is stable most of the time,1
overall satisfied with the service,1
network is slow and unstable,0
internet disconnects frequently,0
customer support is very poor,0
billing issues again and again,0
very disappointed with service quality,0
waste of money,0
connection drops during calls,0
slow data speed in my area,0
support never responds,0
bad experience overall,0
internet speed is amazing,1
very fast network connection,1
excellent customer support service,1
happy with the premium plan,1
network performance is very good,1
support team resolved my issue quickly,1
billing process is smooth and clear,1
good value for money,1
connection is stable most of the time,1
overall satisfied with the service,1
network is slow and unstable,0
internet disconnects frequently,0
customer support is very poor,0
billing issues again and again,0
very disappointed with service quality,0
waste of money,0
connection drops during calls,0
